track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
San Lucas,Kevin Kaarl,1,2019,11,7,407,1,244891912.00,5,0,92,G,Major,58,27,36,86,0,9,3
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767.00,27,27,150,G#,Minor,90,64,14,67,35,11,10
Tom's Diner,AnnenMayKantereit,2,2019,6,28,2605,0,236872197.00,15,48,98,F#,Minor,68,33,43,38,0,36,14
When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270.00,8,67,80,G#,Minor,39,45,55,73,0,9,21
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.00,26,6,96,D,Major,72,40,47,71,0,13,4
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.00,386,144,81,B,Major,76,53,53,44,0,9,9
Levitating (feat. DaBaby),Dua Lipa,2,2020,3,27,15894,8,1802514301.00,198,13,103,F#,Minor,70,92,83,1,0,7,6
Dakiti,Bad Bunny,2,2020,10,30,11215,21,1763363713.00,189,166,110,E,Minor,73,14,57,40,0,11,5
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776.00,275,19,179,G#,Minor,61,76,51,30,0,38,15
Mood (feat. Iann Dior),24kgoldn,2,2020,7,24,12854,0,1699402402.00,237,27,91,G,Minor,70,76,72,22,0,27,4
Dynamite,BTS,1,2020,8,21,8528,5,1692897992.00,239,163,114,F#,Minor,75,74,77,1,0,9,10
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784.00,197,115,118,,Major,68,61,82,2,0,50,3
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105.00,344,97,126,B,Minor,81,59,90,5,0,36,3
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902.00,82,1,92,F,Major,47,25,43,62,0,32,3
positions,Ariana Grande,1,2020,10,23,8207,0,1252563873.00,175,55,144,,Major,73,66,80,44,0,9,12
Save Your Tears (with Ariana Grande) (Remix),Ariana Grande,2,2020,3,20,9161,5,1221813483.00,240,98,118,,Major,65,63,79,3,0,10,3
Contection,GODZZ__-,2,2020,1,16,6955,0,1180896317.00,65,45,166,A#,Minor,81,83,75,14,0,29,34
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974.00,167,19,124,E,Major,64,8,37,79,0,9,5
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797.00,188,75,128,D#,Minor,81,57,63,40,1,10,4
The Business,Ti,1,2020,1,1,14311,0,1062345656.00,255,32,120,G#,Minor,80,24,62,41,2,11,23
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566.00,111,127,129,,Major,61,59,46,56,0,13,5
MIDDLE OF THE NIGHT,Elley Duh,1,2020,1,10,4057,8,872137015.00,78,21,186,E,Minor,41,9,61,2,0,12,5
Good Days,SZA,1,2020,12,24,10426,2,826623384.00,133,109,121,C#,Minor,46,53,78,23,0,72,6
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.00,106,112,130,,Minor,61,53,58,55,0,27,4
Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073.00,233,82,103,F#,Minor,69,90,88,5,0,29,8
La Santa,Daddy Yankee,2,2020,2,29,4890,20,759208783.00,52,42,93,C#,Major,74,59,87,3,0,8,5
After Hours,The Weeknd,1,2020,2,19,8084,6,698086140.00,45,115,109,F,Minor,66,16,57,10,1,12,3
A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800.00,21,20,92,,Major,86,89,79,17,0,11,6
august,Taylor Swift,1,2020,7,24,7324,22,607123776.00,25,81,90,F,Major,51,42,61,53,0,9,3
Mon Amour - Remix,Aitana,2,2020,9,21,3221,2,578207856.00,67,13,116,D,Major,75,36,76,12,0,10,10
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.00,65,48,122,F,Major,67,49,64,10,0,10,3
Meet Me At Our Spot,THE ANXIETY,3,2020,3,13,6734,0,530511203.00,47,14,95,D,Major,77,40,47,2,0,9,3
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838.00,25,3,140,D,Major,79,56,91,26,0,13,21
Life Goes On,Oliver Tree,1,2020,7,17,2868,0,501541661.00,43,15,80,,Major,70,57,49,19,0,12,8
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812.00,1,50,139,A,Minor,48,37,41,32,0,10,10
,Fujii Kaze,1,2020,5,20,685,14,403097450.00,24,94,158,F#,Minor,60,52,76,17,0,19,5
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453.00,36,2,126,A,Minor,67,37,46,13,0,10,39
Excuses,Intense,3,2020,7,24,272,4,327498031.00,7,21,95,F,Minor,84,49,72,8,0,15,8
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938.00,13,1,94,C#,Minor,76,81,80,20,0,25,4
Caile,Luar La L,1,2020,12,18,1494,2,273914335.00,17,12,122,,Major,70,46,76,30,0,9,45
I Really Want to Stay at Your House,Rosa Walton,2,2020,12,18,668,1,140430339.00,0,0,125,D#,Minor,49,13,74,0,0,9,4
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.00,2,107,88,C#,Minor,53,34,47,9,0,83,4
STAY (with Justin Bieber),Justin Bieber,2,2021,7,9,17050,36,2665343922.00,492,99,170,C#,Major,59,48,76,4,0,10,5
good 4 u,Olivia Rodrigo,1,2021,5,14,15563,6,1887039593.00,259,55,166,F#,Minor,56,68,66,28,0,11,18
drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,1858144199.00,185,61,144,A#,Major,59,21,43,76,0,10,7
INDUSTRY BABY (feat. Jack Harlow),Jack Harlow,2,2021,7,23,13315,0,1814349763.00,300,47,150,D#,Minor,74,89,70,2,0,5,6
Kiss Me More (feat. SZA),SZA,2,2021,4,9,15867,0,1575467011.00,382,65,111,G#,Major,77,74,66,30,0,13,3
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,3,2021,3,19,14140,0,1445941661.00,231,52,90,,Major,63,49,68,38,0,42,18
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.00,258,87,142,F,Major,60,13,37,58,0,13,3
Woman,Doja Cat,1,2021,6,25,9424,0,1329090101.00,202,50,108,F,Minor,82,88,76,9,0,12,9
Pepas,Farruko,1,2021,6,24,14114,17,1309887447.00,252,109,130,G,Major,76,44,77,1,0,13,3
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087.00,234,71,141,D,Major,79,82,86,28,0,4,9
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497.00,120,86,180,C#,Major,64,44,65,28,0,14,12
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657.00,117,39,181,A,Major,44,22,60,61,0,42,9
traitor,Juan Cruz Toledo,2,2021,5,21,5257,6,1230855859.00,85,43,176,D#,Major,29,12,33,68,0,12,5
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4,2021,9,3,6180,7,1223481149.00,122,88,77,B,Minor,72,59,76,24,0,42,28
Enemy - from the series Arcane League of Legends,Imagine Dragons,3,2021,10,27,824,0,1223481149.00,8,8,77,G,Major,73,54,74,23,0,41,23
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737.00,107,38,154,D,Major,61,41,74,21,0,40,6
Butter,BTS,1,2021,5,21,4779,6,1143647827.00,180,135,110,G#,Major,79,70,36,0,0,6,11
Leave The Door Open,Bruno Mars,3,2021,3,5,14417,0,1115880852.00,237,123,148,F,Major,59,72,62,18,0,9,3
My Universe,Coldplay,2,2021,9,24,6127,13,1061966512.00,0,0,105,A,Major,58,42,68,1,0,14,4
Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,1056760045.00,138,133,65,,Major,31,31,24,76,0,14,4
Need To Know,Doja Cat,1,2021,6,11,6672,0,1042568408.00,125,36,130,C#,Major,66,19,61,30,0,9,7
abcdefu,Gayle,1,2021,8,13,7215,0,1007612429.00,170,12,122,E,Major,70,42,54,30,0,37,5
Where Are You Now,Lost Frequencies,2,2021,7,30,10565,44,972509632.00,238,122,121,F#,Minor,67,26,64,52,0,17,10
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,0,920797189.00,173,7,88,C#,Minor,74,55,85,1,0,5,22
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,4,2021,1,15,12043,0,863756573.00,209,54,123,D,Major,82,80,86,1,0,30,13
MONEY,Lisa,1,2021,9,10,2566,13,863625566.00,44,109,140,C#,Minor,83,40,55,16,0,14,23
I WANNA BE YOUR SLAVE,Mne,1,2021,3,19,4873,0,851070493.00,65,88,133,C#,Major,75,96,61,0,0,18,4
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354.00,25,46,169,F#,Major,39,36,45,81,0,8,13
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.00,98,108,114,F,Minor,77,65,72,2,0,7,5
Desesperados,Chencho Corleone,2,2021,6,25,6821,34,809306935.00,83,58,90,C#,Minor,87,51,69,36,0,9,8
RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345.00,141,12,81,F#,Major,79,44,54,41,0,13,24
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581.00,20,21,173,A,Major,40,19,29,86,0,34,4
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Julieta Venegas,3,2021,10,5,3423,26,775542072.00,61,65,170,E,Minor,64,14,70,9,0,9,8
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.00,69,100,202,A#,Major,34,25,51,69,0,18,4
Qu M,J Balvin,2,2021,1,28,8087,0,720825549.00,92,34,102,G#,Major,89,77,82,3,0,17,11
Do It To It,Cherish,2,2021,8,20,12403,0,674772936.00,183,63,125,B,Minor,85,64,81,2,5,7,9
Volv,Aventura,2,2021,8,3,5375,10,673801126.00,138,24,176,C#,Major,73,79,86,42,0,7,18
You Right,Doja Cat,2,2021,6,24,5073,0,672656250.00,83,9,129,G#,Major,83,44,62,2,0,8,6
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558.00,10,0,164,A#,Minor,70,71,58,24,0,7,13
The Motto,Tisto,2,2021,11,4,9151,6,656013912.00,240,107,118,G,Minor,75,46,76,3,0,9,4
Sunroof,Nicky Youre,2,2021,12,3,3741,17,652704649.00,156,35,131,A#,Major,77,84,71,35,0,15,4
Leave Before You Love Me (with Jonas Brothers),Marshmello,2,2021,4,28,4893,4,651732901.00,143,24,120,G,Major,72,67,72,0,0,13,4
2055,Sleepy hallow,1,2021,4,14,2226,0,624515457.00,29,0,161,F#,Minor,78,65,52,46,0,12,31
Moth To A Flame (with The Weeknd),The Weeknd,2,2021,10,22,7495,17,611994237.00,114,172,120,,Minor,56,16,67,0,0,11,4
Volando - Remix,Sech,3,2021,7,8,3272,19,610045621.00,101,34,154,F#,Major,66,63,69,21,0,11,7
Permission to Dance,BTS,1,2021,7,9,1801,2,608334048.00,77,134,125,A,Major,70,65,74,1,0,34,4
Min,Tini,2,2021,4,29,3406,16,596152090.00,61,23,92,D,Major,85,92,54,16,0,29,7
Knife Talk (with 21 Savage ft. Project Pat),Drake,3,2021,9,3,5199,0,594482982.00,45,43,146,F,Minor,85,22,37,13,0,7,30
Fair Trade (with Travis Scott),Drake,2,2021,9,3,5403,6,593917618.00,118,116,168,C#,Major,67,29,47,5,0,22,26
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007.00,50,49,93,,Major,63,21,52,28,0,9,3
Toxic,BoyWithUke,1,2021,9,10,1795,0,582981380.00,34,23,180,G#,Minor,59,69,61,84,0,46,36
Don't Be Shy,Tisto,2,2021,8,1,6026,0,566954746.00,171,51,120,B,Minor,77,51,79,20,0,26,6
family ties (with Kendrick Lamar),Kendrick Lamar,2,2021,8,27,6308,5,560222750.00,114,15,134,C#,Major,71,14,61,1,0,23,33
Envolver,Anitta,1,2021,11,11,4673,2,546191065.00,123,113,92,E,Minor,81,40,73,15,0,9,8
One Right Now (with The Weeknd),The Weeknd,2,2021,11,5,4771,0,539595276.00,68,18,97,C#,Major,68,72,78,4,0,7,5
AM Remix,J Balvin,3,2021,6,24,6556,0,528544703.00,93,5,172,F#,Minor,74,79,66,11,0,8,16
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627.00,43,19,92,G#,Minor,91,79,66,32,0,9,16
Sobrio,Maluma,1,2021,7,8,3506,10,513643924.00,103,76,178,F,Major,76,63,77,14,0,15,22
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816.00,77,31,123,B,Minor,75,93,86,8,0,14,3
Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590.00,32,6,124,D#,Major,86,62,49,51,0,35,21
Way 2 Sexy (with Future & Young Thug),Drake,3,2021,9,3,5481,0,489945871.00,144,30,136,B,Minor,80,33,60,0,0,32,14
Oh My God,Adele,1,2021,11,19,4431,0,466214729.00,105,7,88,C#,Major,53,55,73,9,0,3,5
C,Rauw Alejandro,1,2021,6,25,2636,3,465959382.00,36,82,102,A,Minor,77,26,63,58,0,11,5
Nostl,Chris Brown,3,2021,9,8,2780,2,436695353.00,86,76,98,A,Minor,73,60,85,17,0,24,5
We Don't Talk About Bruno,Adassa,7,2021,11,19,2785,0,432719968.00,95,89,206,,Minor,58,83,45,36,0,11,8
Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334.00,174,73,121,G#,Major,75,53,74,2,0,11,5
OUT OUT (feat. Charli XCX & Saweetie),Charli XCX,4,2021,8,13,6890,0,427486004.00,122,11,124,G#,Minor,79,79,84,2,0,5,5
Thunder,Prezioso,3,2021,5,7,4846,10,422691058.00,54,16,101,C#,Major,67,40,90,3,0,34,6
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,3,2021,9,24,4091,0,421040617.00,105,2,110,,Minor,72,67,68,0,0,14,4
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.00,3,79,105,F#,Minor,65,46,53,16,0,9,5
Happier Than Ever - Edit,Billie Eilish,1,2021,7,28,1959,0,412795151.00,19,0,81,,Major,45,12,57,7,0,23,3
Angel Baby,Troye Sivan,1,2021,9,9,1959,9,408843328.00,52,25,145,B,Major,56,41,57,1,0,13,3
Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335.00,29,2,180,A#,Minor,80,71,68,6,0,10,37
Medallo,Justin Quiles,3,2021,10,27,2780,2,393230256.00,54,21,90,E,Minor,79,79,70,57,0,66,8
Smokin Out The Window,Bruno Mars,3,2021,11,5,4963,0,383550148.00,63,40,82,D,Major,63,85,62,6,0,35,4
Praise God,Kanye West,1,2021,8,29,4651,0,376333030.00,24,6,118,C#,Major,80,21,55,1,0,26,17
LA FAMA (with The Weeknd),The Weeknd,2,2021,11,11,4640,3,374706940.00,81,93,136,,Minor,77,82,30,95,0,13,5
"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,2,2021,12,29,1678,12,374191487.00,20,4,96,C#,Minor,66,76,82,47,0,10,32
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642.00,111,5,122,A#,Major,77,51,79,5,0,16,5
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.00,18,78,175,G,Minor,59,15,64,43,90,12,10
I Hate U,SZA,1,2021,12,3,4094,0,356709897.00,66,96,107,G,Minor,54,41,39,51,0,11,16
Ley Seca,Anuel Aa,2,2021,9,2,2012,0,355219175.00,101,12,105,G#,Major,76,58,84,10,0,13,10
Sad Girlz Luv Money Remix (feat. Kali Uchis),Kali Uchis,3,2021,9,16,3643,0,354065229.00,69,3,110,C#,Minor,86,31,53,43,0,11,6
You Belong With Me (Taylors Ve,Taylor Swift,1,2021,4,9,2619,12,350381515.00,47,90,130,F#,Major,63,49,73,5,0,9,3
this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840.00,16,5,129,B,Major,42,33,44,62,0,8,6
The Feels,TWICE,1,2021,10,1,1150,0,345903614.00,20,99,120,A,Major,81,92,90,9,0,8,7
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426.00,52,15,73,D,Major,83,11,41,0,0,36,14
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424.00,8,116,92,,Major,81,39,60,31,0,7,3
Christmas Tree,V,1,2021,12,24,509,9,317622165.00,8,106,139,F,Major,44,18,38,70,0,12,4
Every Summertime,NIKI,1,2021,8,10,1211,2,290228626.00,30,2,79,F#,Major,63,76,67,38,0,6,4
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015.00,56,8,78,G,Major,40,7,29,62,0,9,3
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,267758538.00,38,48,180,D,Major,65,37,58,2,0,4,31
Vai L Em Casa ,Marlia Mendona,2,2021,10,22,772,0,263894529.00,7,3,158,G#,Minor,46,62,83,53,0,97,28
Mony so,YEAT,1,2021,9,10,1473,0,263779030.00,2,0,138,D,Major,69,35,57,12,0,10,9
Salimo de Noche,Trueno,2,2021,10,21,1057,0,261414174.00,17,5,84,D,Major,67,78,63,29,0,12,5
Peru,Ed Sheeran,2,2021,12,23,2999,0,261286503.00,60,17,108,G,Minor,96,71,42,57,0,8,9
Esquea-Me Se For C,Marlia Mendona,2,2021,10,14,580,0,258316038.00,24,92,122,F#,Minor,80,62,69,28,0,13,7
Down Under (feat. Colin Hay),Luude,2,2021,11,19,3541,2,252871192.00,57,13,172,B,Minor,31,4,86,1,0,28,17
ELEVEN,IVE,1,2021,12,1,521,1,247737946.00,17,89,120,A,Major,83,59,73,6,0,5,11
TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641.00,44,0,144,D,Major,74,39,65,5,1,11,35
Malvad,Xam,3,2021,11,30,648,1,240684449.00,14,3,133,F#,Minor,82,52,61,38,0,14,27
Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128.00,44,63,80,A,Major,76,92,62,6,0,8,13
When Im Gone (with Katy ,Katy Perry,2,2021,12,29,3270,0,226897599.00,89,21,125,,Major,69,70,89,4,0,49,3
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194.00,45,0,170,A#,Major,65,46,47,12,0,13,16
Se Le Ve,Arcangel,8,2021,8,12,1560,0,223319934.00,72,0,84,G,Minor,56,61,76,10,0,14,11
Problem,Alvaro Diaz,2,2021,10,22,1517,0,209768491.00,42,7,92,D,Minor,73,37,74,28,0,14,6
Bar,Tini,2,2021,11,11,755,4,200972675.00,22,3,94,C#,Major,52,68,69,13,0,33,8
DANCE CRIP,Trueno,1,2021,11,17,731,0,198883004.00,14,14,106,,Major,86,86,79,11,0,8,9
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.00,4,11,170,D,Minor,78,75,46,62,0,12,35
Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548.00,11,0,160,D,Major,60,47,62,3,0,38,4
The Family Madrigal,Olga Merediz,3,2021,11,19,1150,0,184937148.00,20,38,141,C#,Major,59,56,63,12,0,6,36
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429.00,42,9,138,D#,Major,70,31,44,84,0,9,39
295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246.00,4,106,90,B,Minor,68,54,76,21,0,11,20
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253.00,43,36,140,G#,Minor,51,66,53,60,0,11,18
S,Anuel Aa,3,2021,11,18,903,0,177129919.00,30,26,90,F#,Minor,63,75,75,17,0,11,8
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418.00,24,47,94,,Major,42,47,36,76,0,9,5
What Else Can I Do?,Stephanie Beatriz,2,2021,11,19,802,0,154797871.00,13,27,120,E,Major,72,54,71,26,0,10,4
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803.00,17,80,121,A#,Minor,70,35,77,1,0,26,4
SloMo,Chanel,1,2021,12,24,1211,0,65719930.00,31,0,105,C#,Minor,73,59,81,13,0,9,6
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.00,403,198,174,F#,Minor,52,66,73,34,0,31,6
Me Porto Bonito,Chencho Corleone,2,2022,5,6,8870,43,1440757818.00,104,120,92,C#,Minor,91,43,71,9,0,9,8
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2,2022,7,6,8506,45,1356565093.00,94,65,128,D,Major,62,55,78,1,3,23,4
Titi Me Pregunt,Bad Bunny,1,2022,5,6,9037,42,1264310836.00,124,133,107,F,Minor,65,19,72,10,0,13,25
Unholy (feat. Kim Petras),Sam Smith,2,2022,9,22,8576,42,1230675890.00,216,108,131,D,Major,71,24,47,1,0,27,9
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.00,139,111,125,G,Minor,84,85,68,58,0,22,4
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.00,183,162,89,G#,Major,64,43,73,5,17,16,4
Ojitos Lindos,Bomba Estreo,2,2022,5,6,6135,38,1133865788.00,71,113,80,D#,Minor,65,27,69,8,0,53,4
I'm Good (Blue),Bebe Rexha,2,2022,8,26,12482,80,1109433169.00,291,184,128,G,Minor,56,38,97,4,0,35,4
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.00,241,127,140,,Major,71,82,81,11,0,6,5
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.00,34,65,98,G,Minor,80,23,48,14,0,6,5
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.00,242,142,97,E,Major,64,51,63,12,0,19,5
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.00,109,42,170,G#,Major,44,27,32,89,0,14,5
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996.00,74,113,100,F,Minor,80,29,67,29,0,12,3
Calm Down (with Selena Gomez),Rma,2,2022,3,25,7112,77,899183384.00,202,119,107,B,Major,80,82,80,43,0,14,4
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.00,114,104,111,C#,Major,87,53,52,66,1,11,5
Creepin',The Weeknd,3,2022,12,2,6036,88,843957510.00,113,149,98,C#,Minor,71,17,61,36,0,8,5
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.00,155,72,169,C#,Major,69,69,51,63,0,38,4
DESPECH,ROSAL,1,2022,7,28,7613,33,782369383.00,180,90,130,G,Major,92,78,62,18,0,6,10
Bam Bam (feat. Ed Sheeran),Camila Cabello,2,2022,3,4,6111,4,756907987.00,185,40,95,G#,Major,76,96,70,18,0,33,4
golden hour,JVKE,1,2022,7,15,4511,36,751134527.00,70,58,94,C#,Minor,51,14,59,65,18,25,3
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.00,166,42,115,A#,Major,71,90,73,30,0,11,5
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468.00,148,80,170,,Major,56,53,64,11,0,45,6
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473.00,0,0,109,A#,Minor,84,72,74,10,0,34,7
About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473.00,242,49,109,A#,Minor,84,72,74,10,0,34,7
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,3,2022,6,24,3107,39,720434240.00,38,0,101,D,Major,88,72,59,62,0,9,3
MAMIII,Karol G,2,2022,2,10,6809,28,716591492.00,151,102,94,E,Minor,84,90,70,9,0,14,8
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595.00,3,0,170,,Major,56,52,64,11,0,45,7
First Class,Jack Harlow,1,2022,4,8,8737,0,694525298.00,163,32,107,G#,Major,91,32,56,3,0,11,10
Una Noche en Medell,Cris Mj,1,2022,1,21,5415,32,682475162.00,46,16,96,A#,Minor,87,82,53,10,0,5,8
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126.00,82,55,132,F#,Major,56,20,55,45,1,32,3
Hey Mor,Ozuna,2,2022,10,6,4637,38,674072710.00,63,79,98,C#,Minor,90,40,59,0,0,10,29
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962.00,20,64,122,A#,Major,88,43,50,7,0,14,5
Here With Me,d4vd,1,2022,7,17,3246,23,635412045.00,94,85,132,E,Major,58,27,48,50,0,12,3
Jimmy Cooks (feat. 21 Savage),Drake,2,2022,6,17,5871,27,618885532.00,81,121,163,,Major,54,40,67,0,0,9,17
Party,Bad Bunny,2,2022,5,6,3185,4,614555082.00,38,64,97,A,Major,83,47,80,2,0,24,9
I Like You (A Happier Song) (with Doja Cat),Post Malone,2,2022,6,3,5281,14,609293408.00,94,21,101,F,Major,74,43,69,12,0,12,7
Tarot,Bad Bunny,2,2022,5,6,2482,20,608228647.00,27,77,114,B,Minor,80,42,68,2,0,66,4
Te Felicito,Shakira,2,2022,4,21,4796,9,606361689.00,124,66,174,F,Major,70,57,64,23,0,8,32
Feliz Cumpleaos Fe,Feid,1,2022,8,19,3430,38,601863821.00,45,69,95,F,Major,87,57,55,10,0,29,7
Until I Found You (with Em Beihold) - Em Beihold Version,Em Beihold,2,2022,4,22,2790,30,600976848.00,60,96,101,A#,Major,34,32,57,78,0,20,3
CUFF IT,Beyonc,1,2022,7,29,7842,10,595900742.00,215,88,115,G,Major,78,64,69,4,0,7,14
Yandel 150,Yandel,2,2022,12,20,3618,38,585695368.00,47,74,168,F#,Minor,78,58,73,5,0,10,7
Rich Flex,Drake,2,2022,11,4,4657,18,573633020.00,84,84,153,B,Minor,56,42,52,5,0,36,24
WAIT FOR U (feat. Drake & Tems),Drake,3,2022,4,27,5491,14,556585270.00,128,84,83,C#,Major,46,34,64,31,0,7,34
Pink Venom,BLACKPINK,1,2022,8,19,1963,16,551305895.00,57,119,90,,Major,80,71,69,2,0,27,10
La Jumpa,Arcangel,2,2022,11,30,3794,34,538115192.00,47,77,123,G#,Major,71,58,70,30,0,32,19
Escapism.,RAYE,2,2022,10,12,5129,25,532336353.00,116,84,96,D,Major,54,25,74,14,0,9,11
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.00,142,23,145,A#,Major,84,88,53,35,0,8,7
Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342.00,119,6,184,F#,Major,69,91,63,11,0,9,31
Miss You,Robin Schulz,2,2022,8,5,5730,10,497225336.00,108,16,145,F#,Minor,59,20,74,1,0,15,5
Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364.00,76,0,180,G,Minor,35,23,61,23,0,19,6
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.00,51,43,97,A#,Major,73,10,44,26,0,16,8
Doja,Central Cee,1,2022,7,20,4169,44,482257456.00,57,44,140,F#,Major,91,97,57,38,0,40,29
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240.00,53,120,110,,Major,82,67,69,0,0,18,4
La Corriente,Tony Dize,2,2022,5,6,1796,8,479655659.00,8,25,196,B,Minor,66,58,79,23,0,22,20
LA INOCENTE,Feid,2,2022,4,1,2598,37,477033549.00,28,57,92,F,Minor,76,46,79,31,0,7,6
LOKERA,Brray,3,2022,7,25,3301,30,471819764.00,72,64,102,B,Minor,83,58,83,21,0,10,5
AMG,Natanael Cano,3,2022,11,24,995,19,463564958.00,12,117,136,B,Minor,77,79,73,15,0,27,10
Ferrari,James Hype,2,2022,3,14,7758,28,462791599.00,173,79,125,C#,Minor,84,70,69,1,0,5,5
Despus de la P,Bad Bunny,1,2022,5,6,2229,0,461558540.00,27,44,78,F,Major,56,61,90,36,0,18,31
Normal,Feid,1,2022,7,8,2461,36,459276435.00,47,66,170,E,Minor,71,59,56,4,0,27,12
